"player" "position" "appearance" "goals" "year" "team"
"Walter Veizaga" "Forward" 5 1 "2016" "bolivia"
"Guillermo Viscarra" "Goalkeeper" 1 0 "2016" "bolivia"
"Juan Zampiery" "Defender" 2 0 "2016" "bolivia"
"Edward Zenteno" "Defender" 9 1 "2016" "bolivia"
"Juan Carlos Arce" "Forward" 4 0 "2017" "bolivia"
"Pedro Azogue" "Midfielder" 3 0 "2017" "bolivia"
"Marvin Bejarano" "Defender" 4 0 "2017" "bolivia"
"Nelson Cabrera" "Defender" 0 2 "2017" "bolivia"
"Jhasmani Campos" "Midfielder" 2 0 "2017" "bolivia"
"Yasmani Duk" "Forward" 2 1 "2017" "bolivia"
"Pablo Escobar" "Forward" 2 1 "2017" "bolivia"
"Jorge Flores" "Defender" 0 2 "2017" "bolivia"
"Walter Alberto Flores" "Midfielder" 3 0 "2017" "bolivia"
"Carlos Emilio Lampe" "Goalkeeper" 3 0 "2017" "bolivia"
"Alejandro Melean" "Midfielder" 1 0 "2017" "bolivia"
"Marcelo Moreno" "Forward" 4 0 "2017" "bolivia"
"Romel Quinonez" "Goalkeeper" 1 0 "2017" "bolivia"
"Ronald Raldes" "Defender" 4 0 "2017" "bolivia"
"Rodrigo Ramallo" "Forward" 1 1 "2017" "bolivia"
"Edemir Rodriguez" "Defender" 3 1 "2017" "bolivia"
"Erwin Saavedra" "Midfielder" 1 2 "2017" "bolivia"
"Martin Smedberg-Dalence" "Defender" 1 0 "2017" "bolivia"
"Joselito Vaca" "Midfielder" 0 1 "2017" "bolivia"
"Walter Veizaga" "Forward" 1 0 "2017" "bolivia"
"Diego Wayar" "Defender" 0 1 "2017" "bolivia"
"Edward Zenteno" "Defender" 4 0 "2017" "bolivia"
"Marin Anicic" "Defender" 1 0 "2016" "bosnia-and-herzegovina"
"Filip Arezina" "Midfelder" 0 1 "2016" "bosnia-and-herzegovina"
"Asmir Begovic" "Goalkeeper" 9 0 "2016" "bosnia-and-herzegovina"
"Almir Bekic" "Midfielder" 1 0 "2016" "bosnia-and-herzegovina"
"Muhamed Besic" "Midfielder" 5 1 "2016" "bosnia-and-herzegovina"
"Ermin Bicakcic" "Defender" 1 2 "2016" "bosnia-and-herzegovina"
"Jasmin Buric" "Goalkeeper" 0 1 "2016" "bosnia-and-herzegovina"
"Edin Cocalic" "Defender" 4 2 "2016" "bosnia-and-herzegovina"
"Haris Duljevic" "Midfielder" 2 2 "2016" "bosnia-and-herzegovina"
"Milan Duric" "Forward" 3 6 "2016" "bosnia-and-herzegovina"
"Edin Dzeko" "Forward" 6 1 "2016" "bosnia-and-herzegovina"
"Srdjan Grahovac" "Midfielder" 2 2 "2016" "bosnia-and-herzegovina"
"Daniel Graovac" "Defender" 0 1 "2016" "bosnia-and-herzegovina"
"Anel Hadzic" "Midfielder" 4 2 "2016" "bosnia-and-herzegovina"
"Izet Hajrovic" "Midfielder" 2 3 "2016" "bosnia-and-herzegovina"
"Armin Hodzic" "Forward" 2 1 "2016" "bosnia-and-herzegovina"
"Vedad Ibisevic" "Forward" 6 2 "2016" "bosnia-and-herzegovina"
"Sead Kolasinac" "Defender/Midfielder" 6 0 "2016" "bosnia-and-herzegovina"
"Aleksandar Kosoric" "Defender" 0 1 "2016" "bosnia-and-herzegovina"
"Zvonimir Kozulj" "Midfielder" 0 1 "2016" "bosnia-and-herzegovina"
"Rade Krunic" "Midfielder" 1 1 "2016" "bosnia-and-herzegovina"
"Senad Lulic" "Midfielder" 7 0 "2016" "bosnia-and-herzegovina"
"Haris Medunjanin" "Midfielder" 5 1 "2016" "bosnia-and-herzegovina"
"Samir Memisevic" "Midfielder" 0 1 "2016" "bosnia-and-herzegovina"
"Mensur Mujdza" "Midfielder" 4 0 "2016" "bosnia-and-herzegovina"
"Kenan Piric" "Goalkeeper" 1 0 "2016" "bosnia-and-herzegovina"
"Miralem Pjanic" "Midfielder" 8 1 "2016" "bosnia-and-herzegovina"
"Sanjin Prcic" "Midfielder" 1 0 "2016" "bosnia-and-herzegovina"
"Sejad Salihovic" "Midfielder/Forward" 1 1 "2016" "bosnia-and-herzegovina"
"Ibrahim Sehic" "Goalkeeper" 2 1 "2016" "bosnia-and-herzegovina"
"Emir Spahic" "Defender" 8 0 "2016" "bosnia-and-herzegovina"
"Miroslav Stevanovic" "Forward" 0 2 "2016" "bosnia-and-herzegovina"
