id,name
795,Ali Mirzaei
796,Anibal Alzate
797,Wu Wenbing
798,Roger Smith
799,Ryuichi Sagiyama
800,Semi Nuoranen
801,Arthur Marohn
802,Frederic Peiremans
803,Joey Gudjonsson
804,Abdelgalmi
805,Radamel Falcao
806,Guadalupe Castaneda
807,Kwetche
808,Orestes Jordan
809,Sean Fraser
810,Doug Lapwood
811,ISMAIL Kurt
812,Frank O'Farrell
813,Jozsef Salamon
814,Quimfor
815,Emmanuel Kone
816,Brian Williams
817,Paddy Moore
818,Taoufik Mhadhebi
819,Per Bartram
820,Andonios Miyakis
821,Imad Ali Ali-Hosni
822,Jorge Gomes
823,Radmilo Mihajlovic
824,Mark Jones
825,Bellini
826,Hassan Ahmed
827,Isaac Gibbert Sinkot
828,Kais Zouaghi
829,Jorge Izaguirre
830,Alberto Garcia
831,Andreas Landgren
832,Eizoh Yuguchi
833,Franz Schutz
834,Ivan Valenciano
835,Jose Arturo Chaires
836,Ross Barkley
837,Maurice Henneberg
838,Rui Costafor
839,Giacomo Losi
840,Salim Arrache
841,Miroslav Savic
842,Knud Engedal
843,Raymond Francois
844,Manuel Lopez 'Travieso'
845,Thomas Gaardsoe
846,Vojislav Melic
847,Aleksandr Chivadze
848,Robert Weyn
849,Eduardo Magnolo Berizzo
850,Stopila Sunzu
851,Luis Roblesfor
852,Aleksandr Mirzoyan
853,Yvan Beck
854,J Landeta
855,Salah Assad
856,Avira Hadad
857,KIM San-Zoon
858,Al Aynati
859,David Hill
860,Misimast
861,Petteri Forsell
862,Neil Haines
863,Huerta
864,Fawzi Gamal
865,Selim Hussain
866,Barbato
867,Ahmad Adwan
868,Jurgen Muche
869,Mehdi Mostefa
870,Andreas Lasnik
871,Robert J Irvine
872,Dennis Ferrera
873,Jari Rinne
874,Joseph Kaucsar
875,Ladislau Brosovschi
876,Balazs Balogh
877,Leonel de Jesus Alvarez
878,I Priturgov
879,Agustin Mario Cejas
880,Karl Schulz II
881,Diego
882,F Hames
883,Sabino Coletta
884,Iyman Younes
885,Harry Andersson I
886,Antonin Jehlicka
887,Paride Tumburus
888,Nikola Radovic
889,Bernard Casoni
890,Oleg Romantsev
891,CHUNG Byung-Tak
892,Julio de Andrade 'Julinho'
893,Arto Halonen
894,Freddy Lopez
895,CETIN Oguz
896,J Arnaldo
897,Gustav Deutsch
898,Jose Ricardo Devaca
899,Oleksandr Radchenko
900,Simon Dawkins
901,Fernando Marcos
902,Dave Roberts
903,Nasser Al Moammari
904,Anthony Gregory
905,Ian McLean
906,Andres Zegarra
907,Hjirach Yagan
908,Ernst Peterli
909,Lynch
910,Ilija Valov
911,Marian Brezina
912,Tim Borowski
913,LO Fuk-hing
914,Hawar Mohammed Taher
915,Ruben Torres
916,Aloka Saoure
917,Julio Daniel Caceres
918,Jeno Dalnoki
919,Kamel Chebli
920,Salem Harcheche
921,Mounir Sawahil
922,Andy Robertson
923,Alberto Ovares Cruz
924,Nasir El-Tiliss
925,Hans Mock
926,Serge Alain Magui
927,Ricardo Cabanas
928,Willy Krauss
929,Dagbjartur Hannesson
930,Egon Jonsson
931,Nuri Asan
932,Baillie
933,Ozden Ongun
934,Faraj Koraish
935,Sven Andersson III
936,Ah Abdulrahmen
