id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
9536,34,62,543,,Reunification Cup,62,0,4,2002-05-23
9537,37,62,180,,FIFA World Cup,,1,1,1978-06-07
9538,49,62,2459,,International Friendly,49,2,1,1971-12-01
9539,49,62,1505,,FIFA World Cup,62,2,3,1978-06-11
9540,50,62,2209,,Under-23 v A,62,2,7,1967-06-05
9541,62,50,383,,International Friendly,,1,1,2003-05-27
9542,62,51,1193,,British Championships,,2,2,1954-11-03
9543,51,62,104,,British Championships,51,2,1,1955-10-08
9544,62,51,1193,,British Championships,62,1,0,1956-11-07
9545,62,51,1193,,British Championships,,2,2,1958-11-05
9546,62,51,1193,,British Championships,62,5,2,1960-11-09
9547,51,62,104,,British Championships,62,1,6,1961-10-07
9548,51,62,104,,British Championships,62,0,1,1970-04-18
9549,62,51,1193,,British Championships,51,0,1,1971-05-18
9550,62,51,1193,,British Championships,62,2,0,1972-05-20
9551,62,51,1193,,British Championships,51,1,2,1973-05-16
9552,62,51,1193,,British Championships,51,0,1,1974-05-11
9553,62,51,1193,,British Championships,62,3,0,1975-05-20
9554,62,51,1193,,British Championships,62,3,0,1976-05-08
9555,62,51,1193,,British Championships,62,3,0,1977-06-01
9556,62,51,1193,,British Championships,,1,1,1978-05-13
9557,62,51,1193,,British Championships,,0,0,1983-05-24
9558,51,62,104,,British Championships,51,2,0,1983-12-13
9559,62,56,1193,,International Friendly,62,2,0,1972-04-26
9560,56,62,180,,FIFA World Cup,56,3,1,1978-06-03
9561,57,62,1002,,UEFA European Championship,57,2,0,1971-04-21
9562,62,57,1193,,UEFA European Championship,62,2,1,1971-10-13
9563,62,57,1193,,International Friendly,62,1,0,1975-05-13
9564,59,62,368,,UEFA European Championship,,1,1,1975-06-01
9565,62,59,1193,,UEFA European Championship,,1,1,1975-12-17
9566,62,63,1193,,FIFA World Cup,,0,0,2012-09-08
9567,65,62,660,,Reunification Cup,65,2,0,2002-05-20
9568,66,62,787,,International Friendly,62,2,6,1963-06-13
9569,62,66,1193,,International Friendly,,0,0,1965-05-08
9570,62,66,1193,,UEFA European Championship,66,1,2,1974-11-20
9571,66,62,785,,UEFA European Championship,,1,1,1975-02-05
9572,66,62,785,,International Friendly,66,3,0,1982-02-24
9573,66,62,1993,,International Friendly,,1,1,2004-09-03
9574,67,62,272,,International Friendly,67,3,1,1952-05-30
9575,62,67,1193,,International Friendly,67,1,2,1953-05-06
9576,67,62,1906,,International Friendly,,1,1,1975-04-16
9577,62,67,1193,,International Friendly,62,3,1,1977-04-27
9578,62,68,1193,,Victory,62,3,1,1946-05-15
9579,68,62,1759,,International Friendly,68,2,1,1948-05-17
9580,62,68,1193,,International Friendly,62,3,1,1950-04-26
9581,68,62,1759,,International Friendly,68,1,0,1973-06-22
9582,62,68,1193,,International Friendly,62,1,0,1976-04-07
9583,71,62,355,,International Friendly,71,4,2,1960-06-08
9584,62,74,1193,,International Friendly,74,2,3,1962-05-02
9585,62,75,1193,,International Friendly,62,6,0,1952-04-30
9586,60,62,770,,International Friendly,60,1,0,1971-06-14
9587,62,78,177,,International Friendly,62,4,0,1876-03-25
9588,78,62,2394,,International Friendly,62,0,2,1877-03-05
9589,62,78,2408,,International Friendly,62,9,0,1878-03-23
9590,78,62,2394,,International Friendly,62,0,3,1879-04-07
9591,62,78,2408,,International Friendly,62,5,1,1880-03-27
